"team_id","team_name","team_url","conference_id","conference","division","year","season_id"
"30170","Alfred St.","/team/30170/15580","30022","AMCC",3,2021,"15580"
"8398","Hilbert","/team/8398/15580","30022","AMCC",3,2021,"15580"
"1163","La Roche","/team/1163/15580","30022","AMCC",3,2021,"15580"
"23725","Medaille","/team/23725/15580","30022","AMCC",3,2021,"15580"
"30036","Mount Aloysius","/team/30036/15580","30022","AMCC",3,2021,"15580"
"25719","Penn St.-Altoona","/team/25719/15580","30022","AMCC",3,2021,"15580"
"538","Penn St.-Behrend","/team/538/15580","30022","AMCC",3,2021,"15580"
"1315","Pitt.-Bradford","/team/1315/15580","30022","AMCC",3,2021,"15580"
"11839","Pitt.-Greensburg","/team/11839/15580","30022","AMCC",3,2021,"15580"
"30197","Belhaven","/team/30197/15580","14825","ASC",3,2021,"15580"
"24400","Concordia (TX)","/team/24400/15580","14825","ASC",3,2021,"15580"
"1062","East Tex. Baptist","/team/1062/15580","14825","ASC",3,2021,"15580"
"271","Hardin-Simmons","/team/271/15580","14825","ASC",3,2021,"15580"
"2741","Howard Payne","/team/2741/15580","14825","ASC",3,2021,"15580"
"8490","LeTourneau","/team/8490/15580","14825","ASC",3,2021,"15580"
"1182","Louisiana Col.","/team/1182/15580","14825","ASC",3,2021,"15580"
"1203","Mary Hardin-Baylor","/team/1203/15580","14825","ASC",3,2021,"15580"
"8530","McMurry","/team/8530/15580","14825","ASC",3,2021,"15580"
"23008","Ozarks (AR)","/team/23008/15580","14825","ASC",3,2021,"15580"
"1390","Sul Ross St.","/team/1390/15580","14825","ASC",3,2021,"15580"
"23121","Texas-Dallas","/team/23121/15580","14825","ASC",3,2021,"15580"
"84","Buena Vista","/team/84/15580","864","American Rivers",3,2021,"15580"
"126","Central (IA)","/team/126/15580","864","American Rivers",3,2021,"15580"
"150","Coe","/team/150/15580","864","American Rivers",3,2021,"15580"
"192","Dubuque","/team/192/15580","864","American Rivers",3,2021,"15580"
"364","Loras","/team/364/15580","864","American Rivers",3,2021,"15580"
"372","Luther","/team/372/15580","864","American Rivers",3,2021,"15580"
"462","Neb. Wesleyan","/team/462/15580","864","American Rivers",3,2021,"15580"
"641","Simpson","/team/641/15580","864","American Rivers",3,2021,"15580"
"750","Wartburg","/team/750/15580","864","American Rivers",3,2021,"15580"
"88","Cabrini","/team/88/15580","30233","Atlantic East",3,2021,"15580"
"12884","Centenary (NJ)","/team/12884/15580","30233","Atlantic East",3,2021,"15580"
"12399","Gwynedd Mercy","/team/12399/15580","30233","Atlantic East",3,2021,"15580"
"303","Immaculata","/team/303/15580","30233","Atlantic East",3,2021,"15580"
"394","Marymount (VA)","/team/394/15580","30233","Atlantic East",3,2021,"15580"
"397","Marywood","/team/397/15580","30233","Atlantic East",3,2021,"15580"
"1254","Neumann","/team/1254/15580","30233","Atlantic East",3,2021,"15580"
"763","Wesley","/team/763/15580","30233","Atlantic East",3,2021,"15580"
"139","Chris. Newport","/team/139/15580","15810","C2C",3,2021,"15580"
"390","Mary Washington","/team/390/15580","15810","C2C",3,2021,"15580"
"622","Salisbury","/team/622/15580","15810","C2C",3,2021,"15580"
"30164","Southern Va.","/team/30164/15580","15810","C2C",3,2021,"15580"
"611","St. Mary's (MD)","/team/611/15580","15810","C2C",3,2021,"15580"
"170","Curry","/team/170/15580","839","CCC",3,2021,"15580"
"8981","Endicott","/team/8981/15580","839","CCC",3,2021,"15580"
"1099","Gordon","/team/1099/15580","839","CCC",3,2021,"15580"
"484","Nichols","/team/484/15580","839","CCC",3,2021,"15580"
"583","Roger Williams","/team/583/15580","839","CCC",3,2021,"15580"
"623","Salve Regina","/team/623/15580","839","CCC",3,2021,"15580"
"684","Suffolk","/team/684/15580","839","CCC",3,2021,"15580"
"762","Wentworth","/team/762/15580","839","CCC",3,2021,"15580"
"775","Western New Eng.","/team/775/15580","839","CCC",3,2021,"15580"
"40","Augustana (IL)","/team/40/15580","836","CCIW",3,2021,"15580"
"120","Carroll (WI)","/team/120/15580","836","CCIW",3,2021,"15580"
"121","Carthage","/team/121/15580","836","CCIW",3,2021,"15580"
"212","Elmhurst","/team/212/15580","836","CCIW",3,2021,"15580"
"300","Ill. Wesleyan","/team/300/15580","836","CCIW",3,2021,"15580"
"424","Millikin","/team/424/15580","836","CCIW",3,2021,"15580"
"492","North Central (IL)","/team/492/15580","836","CCIW",3,2021,"15580"
"496","North Park","/team/496/15580","836","CCIW",3,2021,"15580"
"778","Wheaton (IL)","/team/778/15580","836","CCIW",3,2021,"15580"
"1305","Cairn","/team/1305/15580","21062","CSAC",3,2021,"15580"
"958","Clarks Summit","/team/958/15580","21062","CSAC",3,2021,"15580"
"30047","Keystone","/team/30047/15580","21062","CSAC",3,2021,"15580"
"9684","Saint Elizabeth","/team/9684/15580","21062","CSAC",3,2021,"15580"
"30166","Valley Forge","/team/30166/15580","21062","CSAC",3,2021,"15580"
"12973","Wilson","/team/12973/15580","21062","CSAC",3,2021,"15580"
"58","Baruch","/team/58/15580","834","CUNYAC",3,2021,"15580"
"480","CCNY","/team/480/15580","834","CUNYAC",3,2021,"15580"
"321","John Jay","/team/321/15580","834","CUNYAC",3,2021,"15580"
"279","Lehman","/team/279/15580","834","CUNYAC",3,2021,"15580"
"185","Dickinson","/team/185/15580","9683","Centennial",3,2021,"15580"
"239","Franklin & Marshall","/team/239/15580","9683","Centennial",3,2021,"15580"
"258","Gettysburg","/team/258/15580","9683","Centennial",3,2021,"15580"
"276","Haverford","/team/276/15580","9683","Centennial",3,2021,"15580"
"322","Johns Hopkins","/team/322/15580","9683","Centennial",3,2021,"15580"
"773","McDaniel","/team/773/15580","9683","Centennial",3,2021,"15580"
"453","Muhlenberg","/team/453/15580","9683","Centennial",3,2021,"15580"
"686","Swarthmore","/team/686/15580","9683","Centennial",3,2021,"15580"
"730","Ursinus","/team/730/15580","9683","Centennial",3,2021,"15580"
"753","Washington Col.","/team/753/15580","9683","Centennial",3,2021,"15580"
"1194","Maranatha Baptist","/team/1194/15580","99020","DIII Independent",3,2021,"15580"
"544","Pine Manor","/team/544/15580","99020","DIII Independent",3,2021,"15580"
"213","Elmira","/team/213/15580","863","Empire 8",3,2021,"15580"
"30160","Houghton","/team/30160/15580","863","Empire 8",3,2021,"15580"
"1159","Keuka","/team/1159/15580","863","Empire 8",3,2021,"15580"
"601","St. John Fisher","/team/601/15580","863","Empire 8",3,2021,"15580"
"733","Utica","/team/733/15580","863","Empire 8",3,2021,"15580"
"2798","Albertus Magnus","/team/2798/15580","23257","Great Northeast",3,2021,"15580"
"26","Anna Maria","/team/26/15580","23257","Great Northeast",3,2021,"15580"
"152","Colby-Sawyer","/team/152/15580","23257","Great Northeast",3,2021,"15580"
"30219","Dean","/team/30219/15580","23257","Great Northeast",3,2021,"15580"
"22626","JWU (Providence)","/team/22626/15580","23257","Great Northeast",3,2021,"15580"
"8486","Lasell","/team/8486/15580","23257","Great Northeast",3,2021,"15580"
"511","Norwich","/team/511/15580","23257","Great Northeast",3,2021,"15580"
"18422","Rivier","/team/18422/15580","23257","Great Northeast",3,2021,"15580"
"605","St. Joseph's (ME)","/team/605/15580","23257","Great Northeast",3,2021,"15580"
"939","Anderson (IN)","/team/939/15580","9174","HCAC",3,2021,"15580"
"987","Bluffton","/team/987/15580","9174","HCAC",3,2021,"15580"
"1050","Defiance","/team/1050/15580","9174","HCAC",3,2021,"15580"
"195","Earlham","/team/195/15580","9174","HCAC",3,2021,"15580"
"2694","Franklin","/team/2694/15580","9174","HCAC",3,2021,"15580"
"1115","Hanover","/team/1115/15580","9174","HCAC",3,2021,"15580"
"1192","Manchester","/team/1192/15580","9174","HCAC",3,2021,"15580"
"8567","Mt. St. Joseph","/team/8567/15580","9174","HCAC",3,2021,"15580"
"585","Rose-Hulman","/team/585/15580","9174","HCAC",3,2021,"15580"
"28749","Transylvania","/team/28749/15580","9174","HCAC",3,2021,"15580"
"124","Catholic","/team/124/15580","30101","Landmark",3,2021,"15580"
"190","Drew","/team/190/15580","30101","Landmark",3,2021,"15580"
"211","Elizabethtown","/team/211/15580","30101","Landmark",3,2021,"15580"
"325","Juniata","/team/325/15580","30101","Landmark",3,2021,"15580"
"443","Moravian","/team/443/15580","30101","Landmark",3,2021,"15580"
"633","Scranton","/team/633/15580","30101","Landmark",3,2021,"15580"
"685","Susquehanna","/team/685/15580","30101","Landmark",3,2021,"15580"
"962","Bard","/team/962/15580","24197","Liberty League",3,2021,"15580"
"146","Clarkson","/team/146/15580","24197","Liberty League",3,2021,"15580"
"313","Ithaca","/team/313/15580","24197","Liberty League",3,2021,"15580"
"580","RIT","/team/580/15580","24197","Liberty League",3,2021,"15580"
"570","Rensselaer","/team/570/15580","24197","Liberty League",3,2021,"15580"
"581","Rochester (NY)","/team/581/15580","24197","Liberty League",3,2021,"15580"
"642","Skidmore","/team/642/15580","24197","Liberty League",3,2021,"15580"
"607","St. Lawrence","/team/607/15580","24197","Liberty League",3,2021,"15580"
"727","Union (NY)","/team/727/15580","24197","Liberty League",3,2021,"15580"
"737","Vassar","/team/737/15580","24197","Liberty League",3,2021,"15580"
"200","Eastern Conn. St.","/team/200/15580","867","Little East",3,2021,"15580"
"330","Keene St.","/team/330/15580","867","Little East",3,2021,"15580"
"548","Plymouth St.","/team/548/15580","867","Little East",3,2021,"15580"
"571","Rhode Island Col.","/team/571/15580","867","Little East",3,2021,"15580"
"662","Southern Me.","/team/662/15580","867","Little East",3,2021,"15580"
"401","UMass Boston","/team/401/15580","867","Little East",3,2021,"15580"
"656","UMass Dartmouth","/team/656/15580","867","Little East",3,2021,"15580"
"123","VTSU Castleton","/team/123/15580","867","Little East",3,2021,"15580"
"770","WestConn","/team/770/15580","867","Little East",3,2021,"15580"
"16","Albright","/team/16/15580","28744","MAC Commonwealth",3,2021,"15580"
"938","Alvernia","/team/938/15580","28744","MAC Commonwealth",3,2021,"15580"
"8968","Eastern","/team/8968/15580","28744","MAC Commonwealth",3,2021,"15580"
"8404","Hood","/team/8404/15580","28744","MAC Commonwealth",3,2021,"15580"
"351","Lebanon Valley","/team/351/15580","28744","MAC Commonwealth",3,2021,"15580"
