"team_id","team_name","team_url","conference_id","conference","division","year","season_id"
"30170","Alfred St.","/team/30170/16340","30022","AMCC",3,2023,"16340"
"8398","Hilbert","/team/8398/16340","30022","AMCC",3,2023,"16340"
"1163","La Roche","/team/1163/16340","30022","AMCC",3,2023,"16340"
"30036","Mount Aloysius","/team/30036/16340","30022","AMCC",3,2023,"16340"
"25719","Penn St.-Altoona","/team/25719/16340","30022","AMCC",3,2023,"16340"
"538","Penn St.-Behrend","/team/538/16340","30022","AMCC",3,2023,"16340"
"1315","Pitt.-Bradford","/team/1315/16340","30022","AMCC",3,2023,"16340"
"11839","Pitt.-Greensburg","/team/11839/16340","30022","AMCC",3,2023,"16340"
"24400","Concordia (TX)","/team/24400/16340","14825","ASC",3,2023,"16340"
"1062","East Tex. Baptist","/team/1062/16340","14825","ASC",3,2023,"16340"
"271","Hardin-Simmons","/team/271/16340","14825","ASC",3,2023,"16340"
"2741","Howard Payne","/team/2741/16340","14825","ASC",3,2023,"16340"
"8490","LeTourneau","/team/8490/16340","14825","ASC",3,2023,"16340"
"1203","Mary Hardin-Baylor","/team/1203/16340","14825","ASC",3,2023,"16340"
"8530","McMurry","/team/8530/16340","14825","ASC",3,2023,"16340"
"23008","Ozarks (AR)","/team/23008/16340","14825","ASC",3,2023,"16340"
"1390","Sul Ross St.","/team/1390/16340","14825","ASC",3,2023,"16340"
"23121","Texas-Dallas","/team/23121/16340","14825","ASC",3,2023,"16340"
"84","Buena Vista","/team/84/16340","864","American Rivers",3,2023,"16340"
"126","Central (IA)","/team/126/16340","864","American Rivers",3,2023,"16340"
"150","Coe","/team/150/16340","864","American Rivers",3,2023,"16340"
"192","Dubuque","/team/192/16340","864","American Rivers",3,2023,"16340"
"364","Loras","/team/364/16340","864","American Rivers",3,2023,"16340"
"372","Luther","/team/372/16340","864","American Rivers",3,2023,"16340"
"462","Neb. Wesleyan","/team/462/16340","864","American Rivers",3,2023,"16340"
"641","Simpson","/team/641/16340","864","American Rivers",3,2023,"16340"
"750","Wartburg","/team/750/16340","864","American Rivers",3,2023,"16340"
"88","Cabrini","/team/88/16340","30233","Atlantic East",3,2023,"16340"
"12884","Centenary (NJ)","/team/12884/16340","30233","Atlantic East",3,2023,"16340"
"12399","Gwynedd Mercy","/team/12399/16340","30233","Atlantic East",3,2023,"16340"
"303","Immaculata","/team/303/16340","30233","Atlantic East",3,2023,"16340"
"394","Marymount (VA)","/team/394/16340","30233","Atlantic East",3,2023,"16340"
"397","Marywood","/team/397/16340","30233","Atlantic East",3,2023,"16340"
"1254","Neumann","/team/1254/16340","30233","Atlantic East",3,2023,"16340"
"139","Chris. Newport","/team/139/16340","15810","C2C",3,2023,"16340"
